Date,F(1350),F(Lya),F(C IV)
7510.139,37.10,45.60,63.80
7514.082,40.30,49.30,71.70
7517.926,42.10,50.40,69.40
7522.091,41.00,53.00,74.00
7526.099,51.00,55.50,69.10
7530.013,53.20,55.30,67.70
7534.002,50.00,48.80,64.30
7538.170,61.40,60.10,70.10
7538.265,58.90,60.10,72.70
7538.355,58.90,65.40,70.50
7543.214,62.30,61.90,76.50
7543.306,57.80,65.60,76.00
7546.009,62.80,67.00,78.60
7549.831,52.40,64.90,79.60
7553.160,49.30,66.00,89.20
7557.159,47.60,62.60,79.50
7557.244,49.60,63.60,78.50
7561.855,35.50,54.50,71.50
7565.871,29.90,47.90,65.60
7569.845,32.80,51.10,65.40
7573.713,30.00,47.50,62.20
7577.919,28.80,44.50,65.60
7581.866,25.50,41.40,54.70
7586.013,35.00,42.50,58.20
7586.107,28.30,40.00,58.30
7589.991,31.90,43.20,59.60
7590.089,26.00,42.10,59.90
7594.001,29.70,45.40,58.50
7594.101,29.10,42.80,64.40
7597.998,41.80,42.20,59.40
7598.090,36.20,45.30,62.70
7601.997,44.00,44.70,59.30
7602.095,42.00,45.60,62.50
7606.010,44.60,45.30,61.20
7606.103,39.00,45.00,64.20
7609.905,48.20,48.30,58.00
7613.685,52.90,51.60,68.40
7617.623,53.00,50.30,66.80
7621.588,70.90,59.00,74.50
7625.591,64.60,60.20,76.90
7629.740,69.10,60.30,77.60
7629.845,66.30,59.10,73.80
7633.926,64.30,67.20,75.50
7634.017,61.10,59.20,77.10
7637.916,62.80,70.70,78.90
7638.012,59.40,60.90,75.70
7641.981,65.60,72.80,83.40
7645.906,64.60,75.70,90.70
7645.993,62.40,72.50,84.90
7649.840,58.20,75.70,85.50
7649.935,53.80,73.50,84.60
7653.850,56.90,72.90,87.10
7657.524,51.80,70.70,86.50
7661.502,50.50,68.20,83.40
7665.495,52.60,67.40,84.40
7669.502,42.30,65.50,81.80
7669.599,42.80,66.80,83.60
7673.551,42.00,65.10,84.90
7677.519,37.60,61.30,82.30
7680.745,43.40,59.20,80.50
7680.852,36.00,58.70,75.30
7684.929,36.80,57.80,78.00
7685.019,30.30,56.70,76.70
7688.742,31.70,51.30,72.30
7688.840,28.90,49.70,67.70
7692.743,32.20,49.20,72.50
7692.843,32.40,47.20,65.10
7696.757,32.00,49.90,64.40
7700.740,34.80,50.30,66.80
7700.839,30.60,45.00,69.00
7705.430,35.60,52.00,66.50
7709.340,44.70,57.80,69.90
7713.335,44.10,57.40,79.00
7717.323,44.00,63.40,82.30
7721.335,48.00,61.10,85.60
7725.337,41.60,61.30,87.40
7725.436,34.80,60.00,81.00
7729.670,28.10,54.90,82.20
7729.768,22.90,53.80,77.30
7733.680,22.10,45.90,65.80
7733.775,20.80,45.30,55.80
7737.662,16.80,40.70,49.60
7737.759,15.00,39.70,52.60
7741.582,17.30,38.80,46.60
7745.557,18.80,39.60,47.50